,0
1630,11076
1631,2886
1632,11079
1633,11078
1634,11081
1635,11084
1636,11088
1637,2900
1638,11096
1639,2904
1640,11098
1641,2906
1642,2908
1643,2913
1644,11105
1645,11106
1646,11108
1647,2924
1648,11123
1649,11132
1650,11135
1651,11136
1652,2948
1653,11141
1654,11143
1655,2955
1656,2959
1657,11154
1658,2965
1659,2966
1660,11157
1661,2973
1662,2974
1663,11173
1664,2983
1665,2987
1666,2990
1667,11196
1668,3005
1669,11197
1670,11198
1671,3004
1672,3017
1673,3018
1674,11211
1675,3026
1676,11219
1677,3032
1678,3040
1679,11239
1680,11250
1681,3060
1682,3061
1683,3063
1684,11257
1685,3066
1686,11258
1687,3068
1688,11264
1689,3073
1690,3076
1691,3083
1692,3087
1693,11280
1694,11283
1695,3097
1696,11290
1697,3101
1698,11296
1699,11297
1700,11300
1701,11301
1702,3111
1703,3114
1704,11308
1705,11310
1706,3123
1707,3124
1708,11319
1709,11323
1710,3132
1711,3136
1712,11333
1713,11336
1714,11339
1715,11341
1716,11344
1717,3152
1718,3155
1719,11347
1720,3157
1721,3158
1722,11355
1723,3164
1724,3163
1725,11358
1726,3173
1727,3174
1728,3175
1729,3179
1730,11371
1731,11380
1732,11381
1733,3190
1734,3191
1735,11384
1736,11385
1737,3194
1738,11387
1739,11396
1740,11398
1741,11399
1742,11402
1743,11406
1744,3217
1745,11412
1746,3225
1747,11424
1748,11426
1749,11431
1750,3243
1751,11440
1752,3249
1753,3250
1754,11446
1755,11447
1756,3256
1757,11454
1758,3264
1759,11459
1760,3268
1761,11461
1762,3270
1763,11460
1764,3269
1765,11464
1766,11466
1767,3271
1768,11471
1769,3283
1770,11480
1771,11484
1772,11487
1773,11488
1774,3297
1775,3300
1776,3303
1777,11499
1778,3313
1779,3320
1780,3330
1781,11523
1782,3332
1783,3333
1784,3339
1785,3342
1786,11536
1787,3344
1788,3348
1789,3349
1790,3350
1791,3352
1792,11547
1793,3361
1794,11555
1795,11562
1796,11574
1797,3385
1798,3391
1799,3399
1800,3402
1801,11595
1802,11602
1803,3410
1804,3416
1805,11611
1806,3422
1807,11614
1808,11616
1809,3425
1810,11621
1811,3429
1812,3431
1813,3430
1814,3436
1815,3439
1816,11632
1817,11636
1818,3447
1819,11641
1820,11643
1821,11645
1822,3455
1823,3456
1824,3457
1825,11651
1826,11658
1827,11660
1828,11662
1829,3476
1830,11670
1831,3483
1832,11675
1833,3487
1834,11680
1835,11681
1836,11683
1837,3493
1838,11690
1839,11691
1840,11695
1841,11704
1842,3518
1843,11710
1844,11713
1845,3523
1846,3529
1847,11722
1848,11721
1849,3532
1850,3533
1851,3545
1852,3549
1853,3550
1854,11748
1855,3560
1856,11753
1857,3561
1858,11759
1859,11762
1860,11763
1861,3574
1862,11773
1863,11774
1864,3581
1865,11776
1866,11784
1867,3592
1868,11795
1869,11799
1870,11804
1871,3614
1872,11809
1873,11810
1874,3622
1875,3623
1876,11817
1877,3628
1878,3633
1879,3634
1880,11827
1881,3636
1882,3638
1883,11832
1884,3644
1885,3645
1886,3655
1887,11848
1888,3667
1889,3669
1890,11861
1891,3684
1892,11881
1893,3697
1894,11890
1895,3702
1896,11895
1897,3707
1898,11899
1899,3709
1900,3711
1901,11907
1902,11909
1903,11913
1904,3723
1905,3725
1906,11920
1907,11921
1908,11923
1909,11932
1910,11934
1911,3742
1912,11940
1913,3748
1914,3751
1915,11953
1916,3763
1917,11958
1918,11959
1919,11960
1920,11968
1921,11979
1922,3790
1923,3793
1924,3794
1925,3795
1926,11985
1927,11988
1928,11994
1929,3805
1930,3809
1931,12004
1932,12005
1933,3814
1934,3817
1935,3819
1936,3821
1937,3838
1938,3841
1939,12033
1940,12040
1941,3849
1942,12044
1943,12047
1944,3864
1945,3865
1946,12062
1947,12065
1948,3873
1949,12066
1950,12069
1951,3878
1952,3886
1953,3889
1954,12082
1955,3895
1956,12099
1957,3912
1958,3914
1959,3916
1960,12109
1961,12112
1962,12114
1963,12115
1964,12116
1965,3931
1966,12130
1967,3941
1968,3946
1969,3948
1970,3955
1971,3956
1972,12149
1973,3963
1974,12163
1975,12167
1976,12169
1977,3981
1978,12174
1979,12184
1980,12186
1981,3996
1982,12189
1983,12192
1984,12198
1985,12199
1986,4006
1987,12200
1988,4011
1989,4014
1990,4015
1991,12210
1992,12214
1993,12215
1994,12216
1995,4025
1996,12219
1997,12220
1998,12224
1999,4046
2000,4055
2001,4056
2002,12249
2003,12252
2004,12256
2005,4065
2006,4064
2007,12259
2008,4068
2009,4069
2010,4075
2011,12272
2012,12278
2013,4088
2014,12281
2015,12288
2016,4096
2017,4097
2018,4100
2019,4101
2020,4102
2021,12294
2022,12297
2023,4107
2024,12300
2025,12302
2026,4110
2027,12308
2028,12310
2029,4119
2030,12312
2031,8960
2032,12314
2033,12315
2034,4128
2035,12322
2036,12324
2037,4132
2038,8963
2039,12329
2040,4138
2041,4137
2042,12332
2043,4140
2044,4142
2045,12334
2046,4144
2047,4146
2048,12345
2049,4155
2050,4156
2051,12353
2052,12354
2053,4163
2054,12357
2055,4165
2056,12358
2057,4169
2058,12362
2059,4173
2060,4176
2061,12371
2062,4180
2063,12372
